time,x1,y1,x2,y2,theta1,theta2,L1,L2,normalized_overlap,energy,total_angular_momentum
0.32,-2.6161117130560174,-0.4500462212744798,2.6161117130560174,0.4500462212744798,0.2499090124887135,-0.3003515261344074,-0.0003731353875196021,-0.0011818496102076446,0.00018165548301363492,1.4402324902779935,1.0800000000000003
0.328,-2.6065206948429576,-0.45005005155160577,2.6065206948429576,0.45005005155160577,0.24990128837096193,-0.30037939304041245,-0.00039954220163463457,-0.001257165542488757,0.00019251430842422886,1.4402324902779935,1.0800000000000003
0.336,-2.5969302596250383,-0.4500541429438694,2.5969302596250383,0.4500541429438694,0.2498930198649442,-0.30040902750691084,-0.0004275895281519266,-0.001336543636305232,0.00020397660634154119,1.4402324902779933,1.08
0.34400000000000003,-2.5873404398395317,-0.4500585110464062,2.5873404398395317,0.4500585110464062,0.24988417322567338,-0.3004405246425143,-0.0004573716431297992,-0.0014201829732513284,0.00021607292909627942,1.4402324902779933,1.08
0.352,-2.5777512695745064,-0.4500631723211214,2.5777512695745064,0.4500631723211214,0.24987471277377465,-0.3004739842034641,-0.0004889877464148069,-0.001508291188303955,0.00022883518436410822,1.440232490277993,1.0800000000000003
0.36,-2.5681627846432953,-0.45006814414069285,2.5681627846432953,0.45006814414069285,0.2498646007947547,-0.3005095107925202,-0.0005225421885225438,-0.0016010847669056297,0.00024229668295393974,1.440232490277993,1.08
0.368,-2.558575022661744,-0.4500734448345456,2.558575022661744,0.4500734448345456,0.24985379743364752,-0.3005472140647116,-0.000558144706218614,-0.0016987893482122917,0.0002564921874392709,1.440232490277993,1.08
0.376,-2.54898802312831,-0.4500790937368718,2.54898802312831,0.4500790937368718,0.2498422605848592,-0.30058720894008745,-0.0005959106670366824,-0.0018016400343605723,0.0002714579615788726,1.4402324902779933,1.08
0.384,-2.5394018275070795,-0.4500851112367698,2.5394018275070795,0.4500851112367698,0.24982994577703116,-0.30062961582360404,-0.0006359613229715979,-0.001909881705583845,0.00028723182046557584,1.440232490277993,1.08
0.392,-2.5298164793137685,-0.4500915188305773,2.5298164793137685,0.4500915188305773,0.24981680605273562,-0.3006745608322794,-0.0006784240735863991,-0.002023769340979511,0.0003038531813339377,1.4402324902779926,1.08
0.4,-2.5202320242047707,-0.45009833917647607,2.5202320242047707,0.45009833917647607,0.24980279184281318,-0.3007221760297425,-0.000723432738772388,-0.0021435683447013952,0.00032136311494887997,1.4402324902779928,1.08
0.40800000000000003,-2.5106485100693265,-0.4501055961514475,2.5106485100693265,0.4501055961514475,0.24978785083515612,-0.30077259966829745,-0.0007711278414014982,-0.0022695548773207152,0.00033980439748828266,1.4402324902779926,1.08
0.41600000000000004,-2.5010659871248615,-0.45011331491065765,2.5010659871248615,0.45011331491065765,0.24977192783773827,-0.3008259764386183,-0.000821656900109653,-0.0024020161920666294,0.00035922156282265405,1.4402324902779922,1.0799999999999998
0.424,-2.4914845080155694,-0.45012152194935434,2.4914845080155694,0.45012152194935434,0.2497549646356856,-0.3008824577271821,-0.0008751747324489843,-0.002541250975623305,0.0003796609550845611,1.4402324902779926,1.08
0.432,-2.481904127914286,-0.45013024516735856,2.481904127914286,0.45013024516735856,0.24973689984217817,-0.30094220188153986,-0.00093184376864533,-0.002687569693123948,0.00040117078140941456,1.4402324902779926,1.0799999999999998
