case_id,speed,phase,phase_over_pi,impact_parameter,event_class,topology_sequence,minimum_component_count,maximum_component_count,final_component_count,activity_duration,activity_impulse,equivalent_time,peak_activity,peak_time
38,0.35,1.0471975511965976,0.3333333333333333,0.8,persistent_fusion_candidate,2-1,1,2,1,5.4399999999999995,1.91716278259023,2.072675281564106,0.924970157961009,12.0
39,0.35,1.5707963267948966,0.5,0.8,persistent_fusion_candidate,2-1,1,2,1,2.879999999999999,3.265799007492503,1.48898366385888,2.1933074799684453,12.0
40,0.35,2.0943951023931953,0.6666666666666666,0.8,two_component_scattering,2,2,2,2,3.84,5.643340164819174,1.8971004603624997,2.9747186734332662,12.0
41,0.35,2.6179938779914944,0.8333333333333334,0.8,two_component_scattering,2,2,2,2,4.4799999999999995,7.143107370724914,2.1124068797980025,3.3815016600438117,12.0
42,0.35,3.141592653589793,1.0,0.8,two_component_scattering,2,2,2,2,4.64,7.667305685435791,2.178004117277496,3.5203357168212874,12.0
43,0.55,0.0,0.0,0.8,persistent_fusion_candidate,2-1,1,2,1,4.32,29.2161007333373,3.673563978907018,7.953067076302795,9.6
44,0.55,0.5235987755982988,0.16666666666666666,0.8,persistent_fusion_candidate,2-1,1,2,1,4.64,22.72597093601985,3.544716553263588,6.411223745124629,9.92
45,0.55,1.0471975511965976,0.3333333333333333,0.8,persistent_fusion_candidate,2-1,1,2,1,5.12,10.662140144332586,2.870846032133885,3.7139365974313403,12.0
46,0.55,1.5707963267948966,0.5,0.8,fusion_fission_scattering,2-1-2,1,2,2,5.76,10.040125756674975,2.899220680094505,3.463042956891333,12.0
47,0.55,2.0943951023931953,0.6666666666666666,0.8,fusion_fission_scattering,2-1-2-1-2,1,2,2,6.24,17.764329287583546,3.9183350359727624,4.533642254808716,12.0
48,0.55,2.6179938779914944,0.8333333333333334,0.8,two_component_scattering,2,2,2,2,6.24,22.543552430127356,4.102687650791504,5.494825428832775,12.0
49,0.55,3.141592653589793,1.0,0.8,two_component_scattering,2,2,2,2,6.3999999999999995,23.803943038271278,4.041831298559734,5.889395494253699,12.0
50,0.75,0.0,0.0,0.8,persistent_fusion_candidate,2-1,1,2,1,6.079999999999999,67.67028415894403,5.240338745293846,12.913341569706006,10.88
