omega,real,imag,magnitude
5.0,-0.051316506627761604,0.14177354630515354,0.15077507182693237
5.050000000000001,-0.03638305667305955,0.12979177331681183,0.13479477450405014
5.1000000000000005,-0.019886391364648134,0.12211584859621841,0.12372448844057707
5.15,-0.0029709246662423527,0.11889195529284041,0.1189290688886752
5.2,0.013243905668780143,0.11997499808534182,0.12070377460105097
5.25,0.027734362597748724,0.12494976093333508,0.12799077164390016
5.300000000000001,0.03963441805679009,0.13316845221742477,0.13894144004106532
5.3500000000000005,0.048285434030006825,0.14380171100320438,0.15169184298081176
5.4,0.05327079033130966,0.15589939896610397,0.1647495059188792
5.45,0.05443376103373248,0.1684570035201401,0.1770333199577469
5.5,0.0518780452988745,0.1804832527694814,0.1877912035061403
5.550000000000001,0.04595146772322059,0.19106459848477997,0.19651264127294296
5.6000000000000005,0.03721440944097251,0.1994225484417619,0.20286514017210355
5.65,0.026395450945925256,0.20496039689151396,0.2066530525411267
5.7,0.014337447117297536,0.2072966701607813,0.20779189553394295
5.75,0.0019377728896664004,0.2062835205424237,0.20629262180492172
5.800000000000001,-0.00991325229056135,0.20200930500965047,0.2022523964789004
5.8500000000000005,-0.020391742332902238,0.1947856112037399,0.19585008932187395
5.9,-0.0287936484384735,0.18511997705196404,0.18734588357932527
5.95,-0.03457888771104956,0.17367643180633088,0.17708529707548415
6.0,-0.03740356706984506,0.16122671251307968,0.1655085485928858
6.050000000000001,-0.03713849572489314,0.1485955389946262,0.15316625631584582
6.1000000000000005,-0.03387309784063458,0.13660363358293237,0.14074068162894923
6.15,-0.027904791441510743,0.12601223498702685,0.12906494780466107
6.2,-0.019714829445001775,0.11747267994587714,0.1191155113060931
6.25,-0.00993244606275124,0.11148422770742922,0.11192580807084393
6.300000000000001,0.0007101348819798514,0.10836271045395574,0.10836503729745334
6.3500000000000005,0.011428736102811005,0.108221848605737,0.10882363954835711
6.4,0.021440883389707482,0.11096822323169733,0.11302060895133616
6.45,0.030018551516182726,0.11631000378781109,0.12012131541175507
6.5,0.03653658767189807,0.1237786452331825,0.1290584179914985
6.550000000000001,0.04051373432916705,0.1327619497287791,0.13880597236819892
6.6000000000000005,0.04164369700527557,0.14254618502347965,0.1485045870167494
6.65,0.039814379533441524,0.1523644065807777,0.15748046612308927
6.7,0.035114195008541974,0.161447775196898,0.16522224670765748
6.75,0.027825203305790303,0.16907651560998116,0.17135083912785712
6.800000000000001,0.018403672015370905,0.17462723031128657,0.17559431855797747
6.8500000000000005,0.007449453486441597,0.17761355881164503,0.17776971235557631
6.9,-0.00433373291232917,0.17771763550675385,0.17777046776972497
6.95,-0.0161844696002265,0.17481041716454185,0.17555802176340962
7.0,-0.027333237008310335,0.168959682848907,0.1711563036342971
7.050000000000001,-0.037052229765517794,0.16042530719513579,0.16464855577638818
7.1000000000000005,-0.04470220661473146,0.14964222129628307,0.15617644403274106
7.15,-0.04977341002039671,0.13719225274288438,0.14594213427837074
7.2,-0.05191799803793059,0.12376672923473106,0.13421505796940147
7.25,-0.05097199418057289,0.11012229623234804,0.12134687601347376
7.300000000000001,-0.04696544347164631,0.09703280439847672,0.10780128946316667
7.3500000000000005,-0.0401202203728372,0.08524034363643485,0.09421012825605599
7.4,-0.030835718472555382,0.07540852570058512,0.08146954818859928
7.45,-0.019663413280604954,0.06808094734199972,0.0708637087148846
7.5,-0.007271980807833908,0.06364741363317114,0.06406149363745342
7.550000000000001,0.005594766642731813,0.062319990575699646,0.06257062121428808
7.6000000000000005,0.018164434818309802,0.06412032099626609,0.06664354625117745
7.65,0.02968414096518042,0.06887891910926608,0.0750030247556825
7.7,0.03946712412228206,0.076246402730036,0.08585550544813338
7.75,0.04693496837205114,0.08571587555508801,0.0977246262630908
7.800000000000001,0.05165283378937438,0.09665498163750254,0.10959106128612264
7.8500000000000005,0.053355548249943596,0.108345562617815,0.12077075584769241
7.9,0.05196300129788217,0.12002839126689932,0.13079360922462374
7.95,0.04758396102416758,0.13095015955447853,0.13932759107259726
8.0,0.04050816317220721,0.1404097825442291,0.14613630047905232
