time,component_count,norm,hamiltonian,momentum_x,momentum_y,angular_momentum,peak_density
3.8000000000000003,2,29.802404549018735,-0.791086543939928,5.297501386763623e-06,-1.8748609435792485e-11,2.523485028793973e-11,1.5670751570245744
3.9,2,29.802404549018853,-0.7910862866780392,5.287888159237323e-06,-2.022540121493499e-11,-3.486121981366441e-11,1.5764879336169395
4.0,2,29.802404549018956,-0.7910860383808569,5.271945974012797e-06,-2.312529508163852e-11,8.98595434173366e-12,1.5812078911369039
4.1,2,29.802404549019062,-0.7910858304227626,5.300359498372064e-06,-2.5681214967099297e-11,1.4484041136603176e-10,1.5881792458516033
4.2,2,29.802404549019162,-0.7910857046250527,5.379447356707414e-06,-2.7606779709477003e-11,-3.106158993210206e-11,1.5933984412238336
4.3,2,29.802404549019258,-0.7910857086391218,5.427745267748787e-06,-3.1062869290665596e-11,-2.514240551865221e-10,1.5970877642147472
4.4,2,29.802404549019357,-0.7910858931473678,5.323348066512085e-06,-3.5416092801499044e-11,5.50229349929876e-10,1.5996726957637069
4.5,2,29.802404549019467,-0.7910863041999828,4.920320450619924e-06,-4.282316688752896e-11,1.7736861458728104e-09,1.6110105157203911
4.6000000000000005,2,29.802404549019574,-0.7910869692365633,3.992236292426948e-06,-5.4359533367687174e-11,-3.331247604154708e-10,1.6255406310639338
4.7,2,29.802404549019684,-0.7910878845119252,2.763683704512575e-06,-6.036813843951494e-11,-7.329294636482242e-09,1.6387436971808138
4.8,2,29.80240454901979,-0.7910890079455316,3.750220566835422e-06,-8.754830627816235e-11,-8.553932909216577e-09,1.6507020112991593
4.9,1,29.802404549019894,-0.7910902662438164,1.1851657028501598e-05,-1.292156485976914e-10,1.1392642471769188e-08,1.6869910156909247
5.0,1,29.80240454902,-0.7910915750988895,2.6531248489410574e-05,-1.75515157962991e-10,4.6502929892250355e-08,1.7725627312436023
5.1000000000000005,1,29.8024045490201,-0.7910928948612719,3.279786837917352e-05,-1.7692349321696277e-10,4.910509334224433e-08,1.8462992105884721
5.2,1,29.802404549020217,-0.7910941889408379,1.1324260722854061e-05,-3.760252526019414e-10,-4.225752048628295e-08,1.908246217274269
5.3,1,29.802404549020324,-0.7910954174651563,-3.4977643867276174e-05,-1.311653216595765e-09,-2.1038272799214774e-07,1.9589647986728276
5.4,1,29.802404549020423,-0.791096548741159,-7.310010571545304e-05,-2.4896618620873223e-09,-2.971482408221926e-07,1.9993135930560473
5.5,1,29.802404549020522,-0.7910975247926854,-7.49653768664858e-05,-2.1406692390923965e-09,-8.227560984938598e-08,2.030549708103254
5.6000000000000005,2,29.802404549020622,-0.7910984734025979,-5.2392044013086045e-05,-1.5483603982291427e-09,5.046822152028618e-07,2.0542572552117044
5.7,1,29.802404549020732,-0.7910996244638122,-5.086454165351335e-05,-4.265386481516753e-09,1.1906862335507584e-06,2.071019751864243
5.8,1,29.802404549020828,-0.7911010749141036,-0.00010224659051885252,-8.605570422925979e-09,1.3769638116355176e-06,2.082293440427129
5.9,1,29.802404549020935,-0.7911028033428648,-0.0001886227367252347,-8.311056703957931e-09,4.620780694056595e-07,2.089166990997585
6.0,1,29.802404549021038,-0.7911046052202948,-0.00025938896138419365,-4.382376059264281e-09,-1.6790764733676591e-06,2.0930216333606526
6.1000000000000005,1,29.802404549021137,-0.7911062671433732,-0.00027600011128503385,-3.839012441275713e-09,-4.362982841156493e-06,2.0929797739185094
6.2,1,29.802404549021233,-0.791107333765272,-0.0002445895784335846,-6.607640129496772e-09,-6.159727525614778e-06,2.0884700953205884
6.3,1,29.802404549021333,-0.7911078519171706,-0.00021050917533330682,-8.744291402074111e-09,-5.485142486223726e-06,2.080984498396523
6.4,1,29.80240454902143,-0.7911077952996056,-0.0002113080459551407,-7.632683374225735e-09,-1.2281778857814452e-06,2.0702100932402656
6.5,1,29.802404549021528,-0.7911072791415525,-0.00024538443563862464,-3.806291393182448e-09,6.410952234185696e-06,2.0562733762423484
6.6000000000000005,1,29.80240454902162,-0.7911064058853244,-0.00027795675533338334,-1.878710381708615e-09,1.561024205228717e-05,2.039983177875717
6.7,1,29.802404549021716,-0.7911050607106285,-0.0002747482979758529,-2.150796207800454e-09,2.36239116917919e-05,2.021415344059586
6.8,1,29.802404549021805,-0.7911036788996885,-0.0002263593922255142,-2.4262550302189823e-09,2.653601884408663e-05,2.000213485185645
