time,x1,y1,x2,y2,theta1,theta2,beta1a,beta1b,beta2a,beta2b,L1,L2,overlap,translation_energy,rotation_energy,shape_energy,interaction_energy,total_energy
5.329285714285715,-1.6190834082504215,-3.599394975739485,1.6190834082504215,3.599394975739485,-1.4055028319327414,-2.528633926397825,0.005248669648723331,-0.0014618082213341107,0.005401074067498241,-0.0010826503689287882,-0.6909257891663612,-0.6748308606256478,1.2877391314692465e-09,0.8428434546224465,0.36610838762966125,0.0011815348018519637,3.673174500083473e-08,1.2101334137857047
5.335714285714285,-1.6196798232064706,-3.6052666096748864,1.6196798232064706,3.6052666096748864,-1.4086895369373094,-2.532346683657387,0.005220138719823591,-0.001434898378492346,0.005298246378537045,-0.0009807186909161394,-0.690925787307519,-0.6748308620250698,1.21793807746104e-09,0.8428434566552325,0.36613163980064967,0.0011582825891411537,3.4740681160652233e-08,1.2101334137857043
5.342142857142857,-1.6202762381658866,-3.611138243616912,1.6202762381658866,3.611138243616912,-1.4118763195319213,-2.5360597816600294,0.005196275936249163,-0.0014121847973815294,0.005204339785637873,-0.0008874034582191033,-0.6909257855515739,-0.6748308633617043,1.15172938493887e-09,0.8428434585817516,0.3661524775240136,0.001137444827835268,3.285210411301284e-08,1.2101334137857045
5.348571428571429,-1.6208726531284763,-3.6170098775652155,1.6208726531284763,3.6170098775652155,-1.4150631652908512,-2.5397731881771413,0.0051772026398981905,-0.0013937601968554002,0.0051197952580395185,-0.0008031231209445442,-0.6909257838932662,-0.6748308646379668,1.0889470088182265e-09,0.8428434604072621,0.36617079848303685,0.0011191238341296786,3.106127589187691e-08,1.2101334137857047
5.3549999999999995,-1.6214690680940562,-3.6228815115194686,1.6214690680940562,3.6228815115194686,-1.4182500594410445,-2.5434868695236204,0.005163013296781991,-0.0013797024373684622,0.0050450072900018635,-0.00072825813775082,-0.6909257823275706,-0.6748308658562143,1.029429676658342e-09,0.84284346213679,0.36618651486410014,0.0011034074212199678,2.936359443261355e-08,1.2101334137857045
5.361428571428571,-1.622065483062454,-3.6287531454793607,1.622065483062454,3.6287531454793607,-1.4214369869611652,-2.5472007907377243,0.0051537749041017785,-0.0013700743215853415,0.0049803219414228175,-0.0006631493790949615,-0.6909257808496904,-0.6748308670187417,9.730211105863914e-10,0.8428434637751345,0.366199553852149,0.0010903684038211443,2.7754599978654506e-08,1.2101334137857047
5.367857142857143,-1.6226618980335055,-3.634624779444595,1.6226618980335055,3.634624779444595,-1.424623932682394,-2.5509149157672275,0.005149526640662079,-0.0013649233475230538,0.004926035185762579,-0.0006080966275310143,-0.6909257794550507,-0.6748308681277801,9.195702069629322e-10,0.8428434653268746,0.36620985798570815,0.0010800642431414574,2.622998027842332e-08,1.2101334137857045
5.3742857142857146,-1.6232583130070568,-3.6404964134148905,1.6232583130070568,3.6404964134148905,-1.4278108813897779,-2.5546292076604318,0.0051502797630676046,-0.0013642814144899102,0.004882391574220524,-0.0005633571804880911,-0.690925778139293,-0.6748308691854942,8.689311751862314e-10,0.8428434667963752,0.366217385369293,0.0010725368344616727,2.4785574610977892e-08,1.2101334137857045
5.380714285714285,-1.6238547279829618,-3.646368047389979,1.6238547279829618,3.646368047389979,-1.4309978179229168,-2.5583436287605337,0.005156017746608499,-0.0013681644847834823,0.004849583221945674,-0.0005291445623599752,-0.6909257768982667,-0.6748308701939814,8.209636373960373e-10,0.8428434681877955,0.3662221097432258,0.0010678124373064799,2.3417376689498846e-08,1.2101334137857045
5.387142857142857,-1.6244511429610833,-3.6522396813696085,1.6244511429610833,3.6522396813696085,-1.4341847272748087,-2.562058140901877,0.005166696665453591,-0.0013765722073554513,0.00482774911817533,-0.0005056273544104812,-0.690925775728023,-0.6748308711552706,7.755326911165451e-10,0.8428434695050947,0.3662240204134822,0.0010659017455912384,2.2121536500014758e-08,1.210133413785705
5.393571428571429,-1.6250475579412913,-3.6581113153535365,1.6250475579412913,3.6581113153535365,-1.4373715946877077,-2.565772705606615,0.005182245803551626,-0.0013894875120526661,0.004816974759204956,-0.0004929281522057886,-0.6909257746248069,-0.6748308720713225,7.325089371350463e-10,0.8428434707520398,0.3662231220461534,0.0010668000931503283,2.0894361140391586e-08,1.2101334137857045
5.3999999999999995,-1.6256439729234626,-3.663982949341534,1.6256439729234626,3.663982949341534,-1.440558405744935,-2.569487284280377,0.005202568483744839,-0.0014068761859084879,0.004817292099411439,-0.0004911226616878311,-0.69092577358505,-0.6748308729440291,6.91768475085097e-10,0.8428434719322134,0.3662194343334942,0.00107048778768218,1.973231472978117e-08,1.2101334137857045
5.406428571428571,-1.6262403879074818,-3.669854583333386,1.6262403879074818,3.669854583333386,-1.443745146457651,-2.5732018384055753,0.005227543099610414,-0.0014286864450735427,0.004828679812610006,-0.0005002389459627375,-0.6909257726053633,-0.6748308737752141,6.531928693464397e-10,0.842843473049021,0.36621299154035036,0.0010769305643159206,1.8632017463061014e-08,1.2101334137857047
5.412857142857143,-1.6268368028932398,-3.6757262173288843,1.6268368028932398,3.6757262173288843,-1.446931803345707,-2.5769163297310627,0.0052570243316206145,-0.001454848517975646,0.004851063853059881,-0.0005202568357181806,-0.6909257716825289,-0.6748308745666339,6.166690879596619e-10,0.8428434741056978,0.3662038419415415,0.0010860801482213537,1.759024388744884e-08,1.2101334137857047
5.4192857142857145,-1.6274332178806332,-3.681597851327834,1.6274332178806332,3.681597851327834,-1.4501183635118255,-2.5806307204569756,0.005290844526650472,-0.0014852742569163475,0.004884318302669904,-0.0005511075167242829,-0.6909257708134929,-0.6748308753199791,5.820894172945917e-10,0.8428434751053169,0.3661920471623407,0.001097874914126686,1.6603920479817925e-08,1.2101334137857047
5.425714285714285,-1.6280296328695645,-3.6874694853300483,1.6280296328695645,3.6874694853300483,-1.4533048147084697,-2.584344973413662,0.005328815218020442,-0.0015198567963436475,0.004928266488815321,-0.0005926733080709184,-0.6909257699953585,-0.6748308760368746,5.493513552218507e-10,0.8428434760507961,0.36617768143529716,0.0011122406294886522,1.5670122603686258e-08,1.2101334137857047
